Road Name,Carriageway Start Name,Carriageway End Name,Location,Latest Count,Count Date,Peak Hour,Count Duration,ADT,Peak Traffic,Car (%),LCV (%),MCV (%),HCVI (%),HCVII (%),Bus (%),HCV Total (%),X Coordinate NZTM,Y Coordinate NZTM
HUNTINGTON DR,SAIDIA PL RAB,QUARTLEY PL,276,Yes,1065916800000,NA,NA,2026,NA,NA,NA,NA,NA,NA,NA,NA,1769627.9879,5911032.8523
HAVEN DR,OPITO WAY,KIRIKIRI LANE,211,Yes,1132185600000,17:00,NA,2448,250,98,0,1,1,0,0,2,1769919.8428,5910723.6246
PLUNKET AVE,KEITH HAY DR,MOTORWAY OVERBRIDGE (1ST ABUTMENT),256,Yes,887587200000,NA,NA,7488,NA,NA,NA,NA,NA,NA,NA,NA,1766222.2503,5903661.4871
PLUNKET AVE,"NAREK PL",CAVENDISH DR,1042,Yes,890697600000,NA,NA,7334,NA,85,10,2,1,2,0,5,1765897.3469,5904385.9879
WEYMOUTH RD,GREAT SOUTH RD,END OF 4 LANES,0,Yes,867628800000,NA,NA,20598,NA,NA,NA,NA,NA,NA,NA,NA,1768915.75,5900839.62
WEYMOUTH RD,CHURCHILL AVE,RUSSELL RD,442,Yes,716774400000,NA,NA,12792,NA,NA,NA,NA,NA,NA,NA,NA,1768492.1244,5900664.5238
WEYMOUTH RD,RONDORLYN PL,COXHEAD RD,867,Yes,752457600000,NA,NA,13192,NA,NA,NA,NA,NA,NA,NA,NA,1768099.6575,5900500.1907
WEYMOUTH RD,GAINSBOROUGH ST,MINTON PL,1725,Yes,1315353600000,800,NA,14181,1376,98,0,1,1,0,0,2,1767295.6033,5900166.7845
WEYMOUTH RD,SYKES RD,ANTALYA PL,2115,Yes,888278400000,NA,NA,21888,NA,NA,NA,NA,NA,NA,NA,NA,1766935.8589,5900018.3529
WEYMOUTH RD,GLENVEAGH PARK DR,JOHN WALKER DR,2464,Yes,1078358400000,NA,NA,7609,NA,NA,NA,NA,NA,NA,NA,NA,1766614.0443,5899886.0885
ROGERS RD (MANUREWA),WEYMOUTH RD RAB,BLOSSOM LANE,47,Yes,1107561600000,08:00,NA,4073,475,98,2,0,0,0,0,0,1768626.1172,5900658.8907
WORDSWORTH RD,BEESTON CRES (NORTH),WINSFORD ST,442,Yes,681091200000,NA,NA,6100,NA,86,8,3,2,1,0,6,1767478.4157,5900723.7379
WORDSWORTH RD,SWALLOW DR,BEDLINGTON AVE,919,Yes,679622400000,NA,NA,3886,NA,86,8,3,2,1,0,6,1767102.2091,5901017.5598
FRIEDLANDERS RD,ASTOR PL,MAHIA RD,1032,Yes,1150675200000,08:00,NA,3248,339,97,2,1,0,0,0,1,1768068.595,5899357.7851
CHICHESTER DR,ERCEG WAY,ROSEHILL DR,121,Yes,1054166400000,NA,NA,4774,NA,95,2,2,1,0,0,3,1771753.18,5895085.8187
EDORVALE AVE,PUHINUI RD,HOLDEN PL,63,Yes,1042675200000,NA,NA,666,NA,NA,NA,NA,NA,NA,NA,NA,1766746.5857,5905444.1877
SETTLERS COVE,WEYMOUTH RD RAB,TONSON PL,29,Yes,1028246400000,NA,NA,945,NA,NA,NA,NA,NA,NA,NA,NA,1765810.2559,5898782.9151
